Timestamp,ICAO,NotamKey,RunwayConfig,SuggestedImpact,FinalImpact,SuggestedSup,FinalSup,Action,NotamText
"2026-08-05T12:58:59","EGNV","C5194/26-EGNV","05:CAT1; 23:CAT1","D","M","","","Changed D to M","2100-2345
TEESSIDE INTERNATIONAL CTA/CTR/ATZ ACTIVATED. AD/ATS OPR HR  EXTENDED. PPR ONLY."
"2026-08-05T13:01:45","EPKT","H2272/26-EPKT","08:CAT1; 26:CAT2","","C","","","Added C (no suggestion)","No
DUE TO UNSERVICEABILITY OF LOC AND DME IKTO THE FOLLOWING  INSTRUMENT  APPROACH PROCEDURES NOT AVAILABLE: ILS CAT II OR LOC RWY 26."
"2026-08-05T13:02:42","KBOS","A0479/26-KBOS","04L:none; 22R:none; 04R:CAT3; 22L:CAT1; 09:none; 27:CAT1; 14:none; 32:CAT1; 15L:none; 33R:none; 15R:CAT1; 33L:CAT3","D","","","","Removed suggested D","No
RWY 09/27 CLSD EXC TAX 30MIN PPR 131.1"
"2026-08-05T13:03:48","LEBL","E3754/26-LEBL","02:CAT1; 20:none; 06L:CAT3; 24R:CAT3; 06R:CAT3; 24L:CAT3","","(ignored)","","","Added (ignored) (no suggestion)","No
RWY06L ILS U/S. AVBL PPR 05MIN"
"2026-08-05T13:03:52","LEBL","E3752/26-LEBL","02:CAT1; 20:none; 06L:CAT3; 24R:CAT3; 06R:CAT3; 24L:CAT3","","(ignored)","","","Added (ignored) (no suggestion)","No
RWY24L ILS GP U/S. AVBL PPR 10MIN. POSSIBLE FALSE INDICATIONS"
"2026-08-05T13:03:58","LEBL","E3751/26-LEBL","02:CAT1; 20:none; 06L:CAT3; 24R:CAT3; 06R:CAT3; 24L:CAT3","","(ignored)","","","Added (ignored) (no suggestion)","No
RWY24R ILS U/S. AVBL PPR 05MIN"
"2026-08-05T13:04:02","LEBL","E3750/26-LEBL","02:CAT1; 20:none; 06L:CAT3; 24R:CAT3; 06R:CAT3; 24L:CAT3","","(ignored)","","","Added (ignored) (no suggestion)","No
RWY06R ILS U/S. AVBL PPR 10MIN.  POSSIBLE FALSE INDICATIONS"
"2026-08-05T13:05:56","LFPO","A5176/26-LFPO","02:CAT1; 20:none; 06:CAT3; 24:CAT3; 07:CAT3; 25:CAT3","D","(ignored)","","","Rejected (Ignored) auto-Keep suggested D","No
FOR A388 AND B748 ACFT : LFPO CANNOT BE CHOSEN AS AN ALTERNATE AD  OR DIVERSION AD DUE TO WIP."
"2026-08-05T13:08:08","LIMC","A3999/26-LIMC","17L:CAT1; 35R:CAT3; 17R:CAT1; 35L:CAT3","","C","","","Added C (no suggestion)","No
INSTRUMENT LANDING SYSTEM (ILS) RWY35L ON TEST, DO NOT USE. REF AIP AD 2 LIMC 1-16"
"2026-08-05T13:08:08","LIMC","A3998/26-LIMC","17L:CAT1; 35R:CAT3; 17R:CAT1; 35L:CAT3","","C","","","Added C (no suggestion)","No
INSTRUMENT LANDING SYSTEM (ILS) RWY35R ON TEST, DO NOT USE. REF AIP AD 2 LIMC 1-17"
"2026-08-05T13:08:08","LIMC","A4027/26-LIMC","17L:CAT1; 35R:CAT3; 17R:CAT1; 35L:CAT3","A","","","","Removed suggested A","No
RWY 17L/35R CLSD DUE TO WIP RWY 17R/35L OPEN RMK: LGT SYSTEM RWY 17L/35R ON TEST REF AIP AD 2 LIMC 2-1"
"2026-08-05T13:08:40","LIPZ","A4004/26-LIPZ","04L:none; 22R:none; 04R:CAT3; 22L:none","N","(ignored)","","","Rejected (Ignored) auto-Keep suggested N","No
MIDDLE MARKER (ILS) RWY04R UNSERVICEABLE REF AIP AD 2 LIPZ 1-13"
"2026-08-05T13:08:57","LJLJ","A1309/26-LJLJ","12:none; 30:CAT3","N","(ignored)","","","Rejected (Ignored) auto-Keep suggested N","No
MIDDLE MARKER ILS RWY 30 FREQ 75MHZ U/S DUE TO MAINTENANCE."
"2026-08-05T13:08:59","LJLJ","A1308/26-LJLJ","12:none; 30:CAT3","N","(ignored)","","","Rejected (Ignored) auto-Keep suggested N","No
OUTER MARKER ILS RWY 30 FREQ 75MHZ U/S DUE TO MAINTENANCE."
"2026-08-05T13:10:03","LRCK","A4360/26-LRCK","18:none; 36:CAT1","","M","","","Added M (no suggestion)","No
RFFS TEMPORARY UPGRADED TO CAT 8"
"2026-08-05T16:30:23","LROP","A4241/26-LROP","08L:CAT2; 26R:CAT1; 08R:CAT3; 26L:CAT1","D","","","","Removed suggested D","No
DUE TO LIMITED PARKING STANDS AVBL, NONSCHEDULED FLIGHTS,     NONSCHEDULED CARGO FLIGHTS, NONSCHEDULED CARGO FLIGHTS CARRYING     MIL ARMY/MUNITIONS, WITHOUT PPR FM AD ADMINISTRATION WITH MIN 72     HR AT E-MAIL 'OPS AT CNAB.RO', NO PRKG STAND WILL BE ALLOCATED     AND NO HANDLING WILL BE PERMITTED.    EXCEPT STATE/MIL ACFT AND ACFT PARKED ON APRON 3    GENERAL AVIATION TERMINAL"
"2026-08-05T16:57:26","LEZL","B6254/26-LEZL","09:CAT1; 27:CAT1","N","","Yes","Yes","Removed suggested N","No
TRIGGER NOTAM- AIP SUP 139/26 WEF 06-AUG-26 TO 06-AUG-27 EST SEVILLA AD (LEZL).- NDB SEVILLA (SPP) OUT OF SERVICE. OPERATIONAL IMPACT DURING NDB SEVILLA (SPP) UNAVAILABILITY 1.- IAC CHARTS: IAC 1 ILS Z RWY 09: AMENDMENT TO THE OAC/H IAC 2 ILS Y RWY 09: AMENDMENT TO THE OAC/H IAC 3 LOC Z RWY 09: NOT AVBL. IAC 4 LOC Y RWY 09: NOT AVBL. IAC 6 ILS Z RWY 27: MISSED APPROACH PROCEDURE NOT AVBL IAC 7 ILS Y RWY 27: NOT AVBL. IAC 8 ILS X RWY 27: NOT AVBL IAC 9 ILS W RWY 27: MISSED APPROACH PROCEDURE NOT AVBL IAC 10 LOC Z RWY 27: NOT AVBL. IAC 11 LOC Y RWY 27: NOT AVBL. IAC 12 LOC X RWY 27: NOT AVBL. IAC 13 LOC W RWY 27: NOT AVBL. IAC 15 NDB RWY 27: NOT AVBL. 2.- CARTAS STAR STAR 3 RWY 27: THE SEGMENTS ROTEX (IAF)-NDB SPP (IAF) OF THE ARRIVALS  MAR4E,OSLEP2E, VJF4E Y VIBAS3E WILL BE NOT AVBL."
"2026-08-05T16:58:42","EDDC","A3013/26-EDDC","04:CAT1; 22:CAT3","D","","","","Removed suggested D","2250-0310
AD AVBL PPR.  OBTAIN PERMISSION TIL 2100 VIA TEL +49(0)351 8813220 OR OCC(AT)DRESDEN-AIRPORT.DE."
"2026-08-05T16:59:24","EHBK","A1603/26-EHBK","03:CAT1; 21:CAT3","D","","","","Removed suggested D","FRI 0800-1200
AD PPR REQUIRED FOR SINGLE-ENGINE ACFT BELOW 2000KG MTOW FOR TGL OPS. TGL OPS FREE OF AIRPORT CHARGE DURING STATED PERIOD FOR ACFT BELOW 2000KG MTOW TGL ONLY. PPR REQUEST VIA AIRPORTAUTHORITY(AT)MAA.NL"
