"StateName","StateCode","id","entity","status","Qcode","Area","SubArea","Condition","Subject","Modifier","message","startdate","enddate","all","location","isICAO","Created","key","type"
"Canada","CAN","E4709/25","MX","LC","MXLC","AGA","Movement and landing area","Limitations","Taxiway(s)","Closed","TWY C CLSD. CREATED: 11 Aug 2025 18:23:00  SOURCE: CYHQYNYX","2025-08-12T11:30:00.000Z","2025-08-12T17:30:00.000Z","E4709/25 NOTAMN Q) CZQM/QMXLC/IV/M/A/000/999/4453N06331W005 A) CYHZ B) 2508121130 C) 2508121730 E) TWY C CLSD. CREATED: 11 Aug 2025 18:23:00  SOURCE: CYHQYNYX","CYHZ",true,"2025-08-11T18:23:00.000Z","E4709/25-CYHZ","airport"
"Canada","CAN","E4612/25","FA","HX","FAHX","AGA","Facilities and services","Hazard Conditions","Aerodrome","Concentration of birds","EXTENSIVE BIRD ACT IN VCY OF RWY 05/23 AND RWY 14/32 CREATED: 05 Aug 2025 16:12:00  SOURCE: CYHQYNYX","2025-08-05T16:12:00.000Z","2025-09-30T19:00:00.000Z","E4612/25 NOTAMN Q) CZQM/QFAHX/IV/NBO/A/000/999/4453N06331W005 A) CYHZ B) 2508051612 C) 2509301900 E) EXTENSIVE BIRD ACT IN VCY OF RWY 05/23 AND RWY 14/32 CREATED: 05 Aug 2025 16:12:00  SOURCE: CYHQYNYX","CYHZ",true,"2025-08-05T16:12:00.000Z","E4612/25-CYHZ","airport"
"Canada","CAN","E4379/25","PI","CH","PICH","ATM","Air traffic procedures","Changes","Instrument approach procedure","Changed","DUE CRANE . RNAV (RNP) Y RWY 05 APCH: RNP 0.15 MINIMA TO READ 740 (291) 1 CREATED: 23 Jul 2025 17:14:00  SOURCE: CYHQYNYX","2025-07-25T10:00:00.000Z","2025-09-25T18:00:00.000Z","E4379/25 NOTAMN Q) CZQM/QPICH/I/NBO/A/000/999/4453N06331W005 A) CYHZ B) 2507251000 C) 2509251800 EST D) DAILY 1000-1800 E) DUE CRANE . RNAV (RNP) Y RWY 05 APCH: RNP 0.15 MINIMA TO READ 740 (291) 1 CREATED: 23 Jul 2025 17:14:00  SOURCE: CYHQYNYX","CYHZ",true,"2025-07-23T17:14:00.000Z","E4379/25-CYHZ","airport"
"Canada","CAN","E4377/25","OB","CE","OBCE","Other Information","Other Information","Changes","Obstacle","Erected","MOBILE CRANE WITHIN 140FT RADIUS CENTRED ON 445223N 0633156W APRX  1480FT BEYOND THR 05 AND 2600FT NW RCL. 161FT AGL 610FT AMSL. NOT  LGTD, NOT PAINTED. CREATED: 23 Jul 2025 15:34:00  SOURCE: CYHQYNYX","2025-07-25T10:00:00.000Z","2025-09-25T18:00:00.000Z","E4377/25 NOTAMN Q) CZQM/QOBCE/IV/M/AE/000/007/4452N06332W005 A) CYHZ B) 2507251000 C) 2509251800 EST D) DAILY 1000-1800 E) MOBILE CRANE WITHIN 140FT RADIUS CENTRED ON 445223N 0633156W APRX  1480FT BEYOND THR 05 AND 2600FT NW RCL. 161FT AGL 610FT AMSL. NOT  LGTD, NOT PAINTED. CREATED: 23 Jul 2025 15:34:00  SOURCE: CYHQYNYX","CYHZ",true,"2025-07-23T15:34:00.000Z","E4377/25-CYHZ","airport"
"Canada","CAN","E4143/25","MR","LC","MRLC","AGA","Movement and landing area","Limitations","Runway","Closed","RWY 14/32 CLSD. CREATED: 13 Jul 2025 19:37:00  SOURCE: CYHQYNYX","2025-07-14T10:00:00.000Z","2025-08-16T22:00:00.000Z","E4143/25 NOTAMN Q) CZQM/QMRLC/IV/NBO/A/000/999/4453N06331W005 A) CYHZ B) 2507141000 C) 2508162200 E) RWY 14/32 CLSD. CREATED: 13 Jul 2025 19:37:00  SOURCE: CYHQYNYX","CYHZ",true,"2025-07-13T19:37:00.000Z","E4143/25-CYHZ","airport"
"Canada","CAN","E4141/25","MX","LC","MXLC","AGA","Movement and landing area","Limitations","Taxiway(s)","Closed","TWY H AND TWY N CLSD. CREATED: 13 Jul 2025 19:35:00  SOURCE: CYHQYNYX","2025-07-14T10:00:00.000Z","2025-08-16T22:00:00.000Z","E4141/25 NOTAMN Q) CZQM/QMXLC/IV/M/A/000/999/4453N06331W005 A) CYHZ B) 2507141000 C) 2508162200 E) TWY H AND TWY N CLSD. CREATED: 13 Jul 2025 19:35:00  SOURCE: CYHQYNYX","CYHZ",true,"2025-07-13T19:35:00.000Z","E4141/25-CYHZ","airport"
"Canada","CAN","S0177/25","FA","XX","FAXX","AGA","Facilities and services","Other","Aerodrome","Plain language","RSC 05 6/6/6 DRY, DRY, DRY. VALID AUG 12 0723 - AUG 12 1523.  RSC 23 6/6/6 DRY, DRY, DRY. VALID AUG 12 0723 - AUG 12 1523.  RSC 14 6/6/6 DRY, DRY, DRY. CLOSED BY N.O.T.A.M. VALID AUG 12  0722 - AUG 12 1522.  RSC 32 6/6/6 DRY, DRY, DRY. CLOSED BY N.O.T.A.M. VALID AUG 12  0722 - AUG 12 1522.  ADDN NON-GRF/TALPA INFO: CREATED: 12 Aug 2025 07:23:00  SOURCE: CYHQYNYX","2025-08-12T07:23:00.000Z","2025-08-12T15:23:00.000Z","S0177/25 NOTAMR S0166/25 Q) CZQM/QFAXX/IV/NBO/A/000/999/4453N06331W005 A) CYHZ B) 2508120723 C) 2508121523 E) RSC 05 6/6/6 DRY, DRY, DRY. VALID AUG 12 0723 - AUG 12 1523.  RSC 23 6/6/6 DRY, DRY, DRY. VALID AUG 12 0723 - AUG 12 1523.  RSC 14 6/6/6 DRY, DRY, DRY. CLOSED BY N.O.T.A.M. VALID AUG 12  0722 - AUG 12 1522.  RSC 32 6/6/6 DRY, DRY, DRY. CLOSED BY N.O.T.A.M. VALID AUG 12  0722 - AUG 12 1522.  ADDN NON-GRF/TALPA INFO: CREATED: 12 Aug 2025 07:23:00  SOURCE: CYHQYNYX","CYHZ",true,"2025-08-12T07:23:00.000Z","S0177/25-CYHZ","airport"
"Canada","CAN","E4081/25","PI","AU","PIAU","ATM","Air traffic procedures","Availability","Instrument approach procedure","Not available","DUE RWY 14/32 CLSD   ALL INSTR APCH PROC RWY 14/32: ALL MINIMA: NOT AUTH EXC FOR TRAINING FLT. TRAINING FLT MUST INITIATE MISSED APCH PROC AT OR ABV MDA OR DA. CREATED: 11 Jul 2025 12:13:00  SOURCE: CYHQYNYX","2025-07-14T10:00:00.000Z","2025-08-16T22:00:00.000Z","E4081/25 NOTAMN Q) CZQM/QPIAU/I/NBO/A/000/999/4453N06331W005 A) CYHZ B) 2507141000 C) 2508162200 E) DUE RWY 14/32 CLSD   ALL INSTR APCH PROC RWY 14/32: ALL MINIMA: NOT AUTH EXC FOR TRAINING FLT. TRAINING FLT MUST INITIATE MISSED APCH PROC AT OR ABV MDA OR DA. CREATED: 11 Jul 2025 12:13:00  SOURCE: CYHQYNYX","CYHZ",true,"2025-07-11T12:13:00.000Z","E4081/25-CYHZ","airport"
"Canada","CAN","E4129/25","FT","AS","FTAS","AGA","Facilities and services","Availability","Transmissometer","Unserviceable","RVR 14 NOT AVBL CREATED: 13 Jul 2025 04:09:00  SOURCE: CYHQYNYX","2025-07-14T10:00:00.000Z","2025-08-16T22:00:00.000Z","E4129/25 NOTAMN Q) CZQM/QFTAS/I/BO/A/000/999/4453N06331W005 A) CYHZ B) 2507141000 C) 2508162200 E) RVR 14 NOT AVBL CREATED: 13 Jul 2025 04:09:00  SOURCE: CYHQYNYX","CYHZ",true,"2025-07-13T04:09:00.000Z","E4129/25-CYHZ","airport"
"Canada","CAN","E4128/25","IC","AS","ICAS","CNS","Instrument and microwave landing systems","Availability","Instrument landing system","Unserviceable","ILS RWY 14 U/S CREATED: 13 Jul 2025 04:08:00  SOURCE: CYHQYNYX","2025-07-14T10:00:00.000Z","2025-08-16T22:00:00.000Z","E4128/25 NOTAMN Q) CZQM/QICAS/I/NBO/A/000/999/4453N06331W005 A) CYHZ B) 2507141000 C) 2508162200 E) ILS RWY 14 U/S CREATED: 13 Jul 2025 04:08:00  SOURCE: CYHQYNYX","CYHZ",true,"2025-07-13T04:08:00.000Z","E4128/25-CYHZ","airport"
