Timestamp,ICAO,NotamKey,RunwayConfig,SuggestedImpact,FinalImpact,SuggestedSup,FinalSup,Action,NotamText
"2026-08-11T13:37:11","LFLL","A5244/26-LFLL","17L:CAT1; 35R:CAT3; 17R:CAT1; 35L:CAT3","","F","","","Added F (no suggestion)","No
REFUELLING NOT AVAILABLE FOR AIRLINES REFUELLED BY 'SASCA' ON  BEHALF OF 'TOTALENERGIES' AND 'BP'"
"2026-08-11T13:37:11","LFLL","A5243/26-LFLL","17L:CAT1; 35R:CAT3; 17R:CAT1; 35L:CAT3","","F","","","Added F (no suggestion)","No
REFUELLING NOT AVAILABLE FOR AIRLINES REFUELLED BY 'SASCA' ON  BEHALF OF 'TOTALENERGIES' AND 'BP'."
"2026-08-11T13:37:56","EBBR","D0453/26-EBBR","01:CAT1; 19:CAT1; 07L:CAT1; 25R:CAT3; 07R:none; 25L:CAT3","D","","","","Removed suggested D","No
BRUSSELS TMA (IFR TRG / PJE / VFR FLT) PPR BLW FL075"
"2026-08-11T13:41:55","EIDW","A3126/26-EIDW","10L:CAT3; 28R:CAT3; 10R:CAT3; 28L:CAT3; 16:CAT1; 34:CAT1","","","","Yes","Added SUP (no suggestion)","No
TRIGGER NOTAM IRELAND AIRAC AMENDMENT,AIP SUPPLEMENT NR 023,  EFFECTIVE DATE 03 SEP 2026. INCLUDED IN THIS SUP, DUBLIN AIRPORT  (EIDW)- CONSTRUCTION WORKS IN THE VICINITY OF THE WEST APRON."
"2026-08-11T13:41:56","EIDW","A3125/26-EIDW","10L:CAT3; 28R:CAT3; 10R:CAT3; 28L:CAT3; 16:CAT1; 34:CAT1","","","","Yes","Added SUP (no suggestion)","No
TRIGGER NOTAM IRELAND AIRAC AMENDMENT NR 009 EFFECTIVE DATE 03  SEP  2026. INCLUDED IN THIS AMENDMENT IS THE UPDATED EIDW AD 2.22 FLIGHT  PROCEDURES."
"2026-08-11T13:45:03","KJFK","A6819/26-KJFK","04L:CAT1; 22R:CAT1; 04R:CAT3; 22L:CAT3; 13L:CAT2; 31R:none; 13R:CAT1; 31L:CAT1","","(ignored)","","","Added (ignored) (no suggestion)","No
TWY E BTN APCH END RWY 22L AND APCH END RWY 22R CLSD"
"2026-08-11T13:45:36","KPHL","A4498/26-KPHL","08:none; 26:CAT1; 09L:CAT2; 27R:CAT2; 09R:CAT3; 27L:CAT2; 17:CAT1; 35:none","","(ignored)","","","Added (ignored) (no suggestion)","DAILY 1100-2000
TWY W BTN APCH END RWY 09L AND TWY S CLSD"
"2026-08-11T13:48:10","LFSB","A5242/26-LFSB","07:none; 25:none; 15:CAT3; 33:CAT1","","A","","","Added A (no suggestion)","MON-SAT 2230-0300
RWY 07/25 AND 15/33 CLOSED"
"2026-08-11T13:49:09","LIPZ","A4132/26-LIPZ","04L:none; 22R:none; 04R:CAT3; 22L:none","","","","Yes","Added SUP (no suggestion)","No
VENEZIA TESSERA AIRPORT: MAINTENANCE WORKS FOR APRON AND MANEUVERING AREAS SUP S17/26 IN FORCE FM 01 APR 2026 TO 17 MAR 2027 CURRENT STATUS OF WORKING PHASES: PHASE 1: COMPLETED PHASE 2: COMPLETED PHASE 3: ACTIVE PHASE 4: NOT ACTIVATED YET PHASE 5: NOT ACTIVATED YET PHASE 6: NOT ACTIVATED YET"
"2026-08-11T13:53:15","ZSSS","F3271/26-ZSSS","18L:CAT1; 36R:CAT2; 18R:CAT1; 36L:CAT1","","(ignored)","","","Added (ignored) (no suggestion)","1700-2200
FLW TWY CLSD: 1.TWY A1,A2,A3,A4,B1,B2,B3,B4,B5,B6,B7,B8,T1,T6,K4,K5,K6,K7 2.TWY H2,H3,H5,H6 CLSD BTN RWY18R/36L AND TWY B. 3. TWY A BTN TWY K2 AND TWY H7. 4. TWY B BTN TWY H1 AND TWY H7. 5. TWY H4 BTN RWY18R/36L AND TWY L01."
