"ID","Date","Flight","Customer","ATC","Aircraft","Fleet","Fleet ICAO","Service Type","Entity","Code share","DEP","DEP ICAO","ARR","ARR ICAO","Primary Alternate ICAO","Alternate ICAO","STD","Block Out","Takeoff","Landing","Block In","STA","Scheduled Block Time","Actual Block Time","Flight Time","Payload","Planned Trip Fuel","Planned APU/Taxi","Contingency","Primary Alternate fuel","Alternate Fuel","Final Reserve","Additional Fuel","Additional Fuel Intermediate Alt","Extra Fuel","Extra Fuel - Company","Extra Fuel - no reason","Extra Fuel - No Alt","Fuel - No final reserve","Fuel ETOPS","Minimum Takeoff Fuel","Tanker Fuel","Discretionary Fuel","DOW","ZFW","MZFW","Fuel Remaining from Prev Sector (kg)","Fuel Uplift (litres)","Fuel Onboard (kg)","Fuel Uplift (kg)","Fuel Burn (kg)","Fuel In","Zero Fuel","TakeOff Fuel","Specific Gravity","Theorical Burn (Kg)","Gap Burn/Theorical","Corsia","EU","Refuel EU","CH","UK","Loi Resilience (3.15)","Data Complete","Burn Gap","Flight Key"
"7452907","30/07/2026","3V4934","FedEx","TAY2ST","OE-IXE","73K","B738","F","ASLB","","STN","EGSS","LGG","EBLG","","","30/07/2026 21:40","","","","","30/07/2026 22:40","60","0","60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","","","","","","","","","0.8000","1","0","","","","","","","No","No","EGSSEBLGOE-IXE300720262140"
"7456969","30/07/2026","3V4138","FedEx","TAY6DN","OE-IXV","73K","B738","F","ASLB","","GDN","EPGD","MUC","EDDM","","","30/07/2026 18:34","","","","","30/07/2026 20:05","91","0","91","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","","","","","","","","","0.8000","1","0","","","","","","","No","No","EPGDEDDMOE-IXV300720261834"
"7759052","30/07/2026","3V4982","FedEx","TAY6SO","OE-IXC","73K","B738","F","ASLB","","OSL","ENGM","GOT","ESGG","","","30/07/2026 18:10","","","","","30/07/2026 19:08","58","0","58","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","","","","","","","","","0.8000","1","0","","","","","","","No","No","ENGMESGGOE-IXC300720261810"
"7454436","30/07/2026","3V4516","FedEx","TAY2KU","OE-IXA","73K","B738","F","ASLB","","TKU","EFTU","CDG","LFPG","","","30/07/2026 18:43","","","","","30/07/2026 21:34","171","0","171","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","","","","","","","","","0.8000","1","0","","","","","","","No","No","EFTULFPGOE-IXA300720261843"
"7830511","30/07/2026","3V4537","FedEx","TAY2MN","OE-IAM","73P","B734","F","ASLB","","LIS","LPPT","CDG","LFPG","","","30/07/2026 18:45","","","","","30/07/2026 21:23","158","0","158","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","","","","","","","","","0.8000","1","0","","","","","","","No","No","LPPTLFPGOE-IAM300720261845"
"7460190","30/07/2026","3V4139","FedEx","TAY4RQ","OE-IWE","73K","B738","F","ASLB","","BRQ","LKTB","CDG","LFPG","","","30/07/2026 19:30","","","","","30/07/2026 21:30","120","0","120","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","","","","","","","","","0.8000","1","0","","","","","","","No","No","LKTBLFPGOE-IWE300720261930"
"7452415","30/07/2026","3V4335","FedEx","TAY9MS","OE-IXH","73K","B738","F","ASLB","","AMS","EHAM","CDG","LFPG","","","30/07/2026 21:00","","","","","30/07/2026 22:19","79","0","79","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","","","","","","","","","0.8000","1","0","","","","","","","No","No","EHAMLFPGOE-IXH300720262100"
"7455750","30/07/2026","3V4982","FedEx","TAY6SO","OE-IXC","73K","B738","F","ASLB","","GOT","ESGG","CDG","LFPG","","","30/07/2026 19:58","","","","","30/07/2026 22:03","125","0","125","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","","","","","","","","","0.8000","1","0","","","","","","","No","No","ESGGLFPGOE-IXC300720261958"
"7654610","30/07/2026","3V4912","FedEx","TAY9VL","OE-IXK","73K","B738","F","ASLB","","BCN","LEBL","LGG","EBLG","","","30/07/2026 20:40","","","","","30/07/2026 22:46","126","0","126","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","","","","","","","","","0.8000","1","0","","","","","","","No","No","LEBLEBLGOE-IXK300720262040"
"7516361","30/07/2026","3V4372","FedEx","TAY4BC","OO-IWD","73K","B738","F","ASLB","","BCN","LEBL","CDG","LFPG","","","30/07/2026 20:50","","","","","30/07/2026 22:49","119","0","119","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","","","","","","","","","0.8000","1","0","","","","","","","No","No","LEBLLFPGOO-IWD300720262050"
