StateName;StateCode;id;entity;status;Qcode;Area;SubArea;Condition;Subject;Modifier;message;startdate;enddate;all;location;isICAO;Created;key;type
Belgium;BEL;A0865/21;NX;AS;NXAS;CNS;Terminal and en-route navigation facilities;Availability;Direction-finding station;Unserviceable;VDF LIEGE HOMER U/S DUE TO MAINT CREATED: 24 Feb 2021 13:57:00  SOURCE: EUECYIYN;2021-03-04T08:00:00.000Z;2021-03-04T15:00:00.000Z;A0865/21 NOTAMN Q) EBBU/QNXAS/V /B  /AE/000/999/5038N00527E005 A) EBLG B) 2103040800 C) 2103041500 E) VDF LIEGE HOMER U/S DUE TO MAINT CREATED: 24 Feb 2021 13:57:00  SOURCE: EUECYIYN;EBLG;TRUE;2021-02-24T13:57:00.000Z;A0865/21-EBLG;airport
Belgium;BEL;A0863/21;IS;AS;ISAS;CNS;Instrument and microwave landing systems;Availability;ILS Category I;Unserviceable;RWY 22R ILS U/S DUE TO MAINT. DO NOT USE, FALSE INDICATIONS  POSSIBLE CREATED: 24 Feb 2021 12:05:00  SOURCE: EUECYIYN;2021-03-03T07:30:00.000Z;2021-03-03T16:00:00.000Z;A0863/21 NOTAMN Q) EBBU/QISAS/I /NBO/A /000/999/5038N00527E005 A) EBLG B) 2103030730 C) 2103031600 E) RWY 22R ILS U/S DUE TO MAINT. DO NOT USE, FALSE INDICATIONS  POSSIBLE CREATED: 24 Feb 2021 12:05:00  SOURCE: EUECYIYN;EBLG;TRUE;2021-02-24T12:05:00.000Z;A0863/21-EBLG;airport
Belgium;BEL;A0861/21;IS;AS;ISAS;CNS;Instrument and microwave landing systems;Availability;ILS Category I;Unserviceable;RWY 22R ILS U/S DUE TO MAINT. DO NOT USE, FALSE INDICATIONS  POSSIBLE CREATED: 24 Feb 2021 12:00:00  SOURCE: EUECYIYN;2021-03-02T11:00:00.000Z;2021-03-02T17:00:00.000Z;A0861/21 NOTAMN Q) EBBU/QISAS/I /NBO/A /000/999/5038N00527E005 A) EBLG B) 2103021100 C) 2103021700 E) RWY 22R ILS U/S DUE TO MAINT. DO NOT USE, FALSE INDICATIONS  POSSIBLE CREATED: 24 Feb 2021 12:00:00  SOURCE: EUECYIYN;EBLG;TRUE;2021-02-24T12:00:00.000Z;A0861/21-EBLG;airport
Belgium;BEL;A0860/21;MX;LT;MXLT;AGA;Movement and landing area;Limitations;Taxiway(s);Limited to;TWY S3, S4 AND A3 ABEAM STANDS 52A, 45A, 46, 47 AND 49 CLSD CREATED: 24 Feb 2021 10:20:00  SOURCE: EUECYIYN;2021-02-25T06:00:00.000Z;2021-02-26T16:00:00.000Z;A0860/21 NOTAMN Q) EBBU/QMXLT/IV/M  /A /000/999/5038N00527E005 A) EBLG B) 2102250600 C) 2102261600 D) DAILY 0600-1600 E) TWY S3, S4 AND A3 ABEAM STANDS 52A, 45A, 46, 47 AND 49 CLSD CREATED: 24 Feb 2021 10:20:00  SOURCE: EUECYIYN;EBLG;TRUE;2021-02-24T10:20:00.000Z;A0860/21-EBLG;airport
Belgium;BEL;A0854/21;IS;AS;ISAS;CNS;Instrument and microwave landing systems;Availability;ILS Category I;Unserviceable;RWY 22R ILS U/S DUE TO MAINT. DO NOT USE, FALSE INDICATIONS  POSSIBLE CREATED: 24 Feb 2021 09:52:00  SOURCE: EUECYIYN;2021-02-26T08:00:00.000Z;2021-02-26T16:00:00.000Z;A0854/21 NOTAMN Q) EBBU/QISAS/I /NBO/A /000/999/5038N00527E005 A) EBLG B) 2102260800 C) 2102261600 E) RWY 22R ILS U/S DUE TO MAINT. DO NOT USE, FALSE INDICATIONS  POSSIBLE CREATED: 24 Feb 2021 09:52:00  SOURCE: EUECYIYN;EBLG;TRUE;2021-02-24T09:52:00.000Z;A0854/21-EBLG;airport
Belgium;BEL;A0853/21;IS;AS;ISAS;CNS;Instrument and microwave landing systems;Availability;ILS Category I;Unserviceable;RWY 22R ILS U/S DUE TO MAINT. DO NOT USE, FALSE INDICATIONS  POSSIBLE CREATED: 24 Feb 2021 09:51:00  SOURCE: EUECYIYN;2021-02-25T12:00:00.000Z;2021-02-25T17:00:00.000Z;A0853/21 NOTAMN Q) EBBU/QISAS/I /NBO/A /000/999/5038N00527E005 A) EBLG B) 2102251200 C) 2102251700 E) RWY 22R ILS U/S DUE TO MAINT. DO NOT USE, FALSE INDICATIONS  POSSIBLE CREATED: 24 Feb 2021 09:51:00  SOURCE: EUECYIYN;EBLG;TRUE;2021-02-24T09:51:00.000Z;A0853/21-EBLG;airport
Belgium;BEL;A0830/21;FA;LT;FALT;AGA;Facilities and services;Limitations;Aerodrome;Limited to;NO TRG FLT DUE TO WIP CREATED: 23 Feb 2021 11:40:00  SOURCE: EUECYIYN;2021-02-25T07:00:00.000Z;2021-02-25T11:00:00.000Z;A0830/21 NOTAMN Q) EBBU/QFALT/IV/NBO/A /000/999/5038N00527E005 A) EBLG B) 2102250700 C) 2102251100 E) NO TRG FLT DUE TO WIP CREATED: 23 Feb 2021 11:40:00  SOURCE: EUECYIYN;EBLG;TRUE;2021-02-23T11:40:00.000Z;A0830/21-EBLG;airport
Belgium;BEL;A0803/21;MP;LC;MPLC;AGA;Movement and landing area;Limitations;Aircraft stands;Closed;STANDS 54, 59, 60 AND 61 CLSD DUE TO WIP EXC LVO CREATED: 19 Feb 2021 14:08:00  SOURCE: EUECYIYN;2021-02-23T06:00:00.000Z;2021-02-24T17:00:00.000Z;A0803/21 NOTAMN Q) EBBU/QMPLC/IV/BO /A /000/999/5038N00527E005 A) EBLG B) 2102230600 C) 2102241700 D) DAILY 0600-1700 E) STANDS 54, 59, 60 AND 61 CLSD DUE TO WIP EXC LVO CREATED: 19 Feb 2021 14:08:00  SOURCE: EUECYIYN;EBLG;TRUE;2021-02-19T14:08:00.000Z;A0803/21-EBLG;airport
Belgium;BEL;A0800/21;MX;LT;MXLT;AGA;Movement and landing area;Limitations;Taxiway(s);Limited to;TWY A4 ABEAM STANDS 54, 59, 60 AND 61 CLSD DUE TO WIP EXC LVO CREATED: 19 Feb 2021 14:02:00  SOURCE: EUECYIYN;2021-02-23T06:00:00.000Z;2021-02-24T17:00:00.000Z;A0800/21 NOTAMN Q) EBBU/QMXLT/IV/M  /A /000/999/5038N00527E005 A) EBLG B) 2102230600 C) 2102241700 D) DAILY 0600-1700 E) TWY A4 ABEAM STANDS 54, 59, 60 AND 61 CLSD DUE TO WIP EXC LVO CREATED: 19 Feb 2021 14:02:00  SOURCE: EUECYIYN;EBLG;TRUE;2021-02-19T14:02:00.000Z;A0800/21-EBLG;airport
Belgium;BEL;A0427/21;MP;LC;MPLC;AGA;Movement and landing area;Limitations;Aircraft stands;Closed;ACFT STAND 61 CLSD CREATED: 01 Feb 2021 13:20:00  SOURCE: EUECYIYN;2021-02-01T13:19:00.000Z;2021-05-30T15:00:00.000Z;A0427/21 NOTAMR A0419/21 Q) EBBU/QMPLC/IV/BO /A /000/999/5038N00527E005 A) EBLG B) 2102011319 C) 2105301500 EST E) ACFT STAND 61 CLSD CREATED: 01 Feb 2021 13:20:00  SOURCE: EUECYIYN;EBLG;TRUE;2021-02-01T13:20:00.000Z;A0427/21-EBLG;airport
